color,suit,face
black,club,A
black,club,2
black,club,3
black,club,4
black,club,5
black,club,6
black,club,7
black,club,8
black,club,9
black,club,10
black,club,J
black,club,Q
black,club,K
black,spade,A
black,spade,2
black,spade,3
black,spade,4
black,spade,5
black,spade,6
black,spade,7
black,spade,8
black,spade,9
black,spade,10
black,spade,J
black,spade,Q
black,spade,K
red,diamond,A
red,diamond,2
red,diamond,3
red,diamond,4
red,diamond,5
red,diamond,6
red,diamond,7
red,diamond,8
red,diamond,9
red,diamond,10
red,diamond,J
red,diamond,Q
red,diamond,K
red,heart,A
red,heart,2
red,heart,3
red,heart,4
red,heart,5
red,heart,6
red,heart,7
red,heart,8
red,heart,9
red,heart,10
red,heart,J
red,heart,Q
red,heart,K
